01:1
02:1
03:1
04:1
05:1
06:1
07:1
08:1
09:1
10:1
1K:1
C1:1
C2:1
J1:1
PLUS ONE:1
R1:1
R10:1
R12:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
RESET:1
U1:1
